school_code,cca,cca_category
3072,"Badminton (Girls and Boys)",Sports
3072,"Netball (Girls)",Sports
3072,"Rugby (Boys)",Sports
3072,"Track and Field (Girls and Boys)",Sports
3072,"Wushu (Girls and Boys)",Sports
3072,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3072,"National Cadet Corps (NCC) (Land) (Girls and Boys)","Uniform Group"
3072,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3072,"Guzheng Ensemble (Girls and Boys)",Arts
3072,"Modern Dance (Girls and Boys)",Arts
3072,"English Drama (Girls and Boys)",Arts
3072,"Concert Band (Girls and Boys)",Arts
3072,"Art and Crafts (Girls and Boys)",Arts
3072,"Robotics (Girls and Boys)","Clubs and Societies"
3072,"Digital Media (Girls and Boys)","Clubs and Societies"
3201,"Shooting (Girls and Boys)",Sports
3201,"Basketball (Girls and Boys)",Sports
3201,"Football (Boys)",Sports
3201,"Track and Field (Girls and Boys)",Sports
3201,"Girl Guides (Girls)","Uniform Group"
3201,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3201,"St John Brigade (Girls and Boys)","Uniform Group"
3201,"Scouts (Boys)","Uniform Group"
3201,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3201,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3201,"Choir (Girls and Boys)",Arts
3201,"Modern Dance (Girls and Boys)",Arts
3201,"English Drama (Girls and Boys)",Arts
3201,"Concert Band (Girls and Boys)",Arts
3201,"Robotics (Girls and Boys)","Clubs and Societies"
3201,"Environmental Science (Girls and Boys)","Clubs and Societies"
3001,"Basketball (Girls and Boys)",Sports
3001,"Netball (Girls)",Sports
3001,"Football (Boys)",Sports
3001,"Table Tennis (Girls)",Sports
3001,"Wushu (Girls and Boys)",Sports
3001,"Volleyball (Girls)",Sports
3001,"Girl Guides (Girls)","Uniform Group"
3001,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3001,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3001,"Choir (Girls and Boys)",Arts
3001,"Chinese Dance (Girls)","Clubs and Societies"
3001,"Malay Dance (Girls and Boys)",Arts
3001,"English Drama (Girls and Boys)",Arts
3001,"Concert Band (Girls and Boys)",Arts
3001,"Art and Crafts (Girls and Boys)",Arts
3001,"Biological Science (Girls and Boys)","Clubs and Societies"
3001,"Robotics (Girls and Boys)","Clubs and Societies"
3001,"Environmental Science (Girls and Boys)","Clubs and Societies"
3001,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3001,"Student Leadership (Council) (Girls and Boys)","Clubs and Societies"
3026,"Badminton (Girls and Boys)",Sports
3026,"Basketball (Boys)",Sports
3026,"Netball (Girls)",Sports
3026,"Football (Boys)",Sports
3026,"Table Tennis (Girls)",Sports
3026,"Volleyball (Girls and Boys)",Sports
3026,"Boys' Brigade (Boys)","Uniform Group"
3026,"Girl Guides (Girls)","Uniform Group"
3026,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3026,"Red Cross Youth (Girls and Boys)","Uniform Group"
3026,"National Cadet Corps (NCC) (Air) (Girls and Boys)","Uniform Group"
3026,"Choir (Girls and Boys)",Arts
3026,"Modern Dance (Girls and Boys)",Arts
3026,"Malay Dance (Girls and Boys)",Arts
3026,"English Drama (Girls and Boys)",Arts
3026,"Concert Band (Girls and Boys)",Arts
3026,"Art and Crafts (Girls and Boys)",Arts
3026,"Audio Visual Aid (Girls and Boys)",Arts
3026,"Environmental Science (Girls and Boys)","Clubs and Societies"
7101,"Badminton (Girls and Boys)",Sports
7101,"Basketball (Girls and Boys)",Sports
7101,"Table Tennis (Girls and Boys)",Sports
7101,"Wushu (Girls and Boys)",Sports
7101,"Boys' Brigade (Boys)","Uniform Group"
7101,"Girls' Brigade (Girls)","Uniform Group"
7101,"Girl Guides (Girls)","Uniform Group"
7101,"National Police Cadet Corps (NPCC) (Girls)","Uniform Group"
7101,"St John Brigade (Girls and Boys)","Uniform Group"
7101,"Scouts (Boys)","Uniform Group"
7101,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
7101,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
7101,"Choir (Girls and Boys)",Arts
7101,"Guitar Ensemble (Girls and Boys)",Arts
7101,"Modern Dance (Girls)",Arts
7101,"Chinese Drama (Girls and Boys)","Clubs and Societies"
7101,"English Drama (Girls and Boys)",Arts
7101,"Concert Band (Girls and Boys)",Arts
7101,"Debating and Public Speaking (Girls and Boys)","Clubs and Societies"
7101,"Robotics (Girls and Boys)","Clubs and Societies"
7101,"Entrepreneurship (Girls and Boys)","Clubs and Societies"
7101,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
7032,"Badminton (Boys)",Sports
7032,"Basketball (Boys)",Sports
7032,"Hockey (Boys)",Sports
7032,"Rugby (Boys)",Sports
7032,"Football (Boys)",Sports
7032,"Swimming (Boys)",Sports
7032,"Track and Field (Boys)",Sports
7032,"Table Tennis (Boys)",Sports
7032,"Tennis (Boys)",Sports
7032,"Water Polo (Boys)",Sports
7032,"Floorball (Boys)",Sports
7032,"Bowling (Boys)",Sports
7032,"Boys' Brigade (Boys)","Uniform Group"
7032,"National Police Cadet Corps (NPCC) (Boys)","Uniform Group"
7032,"Scouts (Boys)","Uniform Group"
7032,"National Cadet Corps (NCC) (Sea) (Boys)","Uniform Group"
7032,"Chinese Orchestra (Boys)","Clubs and Societies"
7032,"Choir (Boys)",Arts
7032,"Modern Dance (Boys)",Arts
7032,"English Drama (Boys)",Arts
7032,"Concert Band (Boys)",Arts
7032,"Debating and Public Speaking (Boys)","Clubs and Societies"
7032,"Robotics (Boys)","Clubs and Societies"
7032,"Infocomm Technology (Media Production) (Boys)","Clubs and Societies"
7001,"Shooting (Boys)",Sports
7001,"Badminton (Boys)",Sports
7001,"Basketball (Boys)",Sports
7001,"Canoeing (Boys)",Sports
7001,"Cricket (Boys)",Sports
7001,"Cross Country (Boys)",Sports
7001,"Rugby (Boys)",Sports
7001,"Football (Boys)",Sports
7001,"Softball (Boys)",Sports
7001,"Squash (Boys)",Sports
7001,"Swimming (Boys)",Sports
7001,"Sailing (Boys)",Sports
7001,"Track and Field (Boys)",Sports
7001,"Tennis (Boys)",Sports
7001,"Water Polo (Boys)",Sports
7001,"Floorball (Boys)",Sports
7001,"Bowling (Boys)",Sports
7001,"Golf (Boys)",Sports
7001,"Modular CCA (Sports) (Boys)","Clubs and Societies"
7001,"Boys' Brigade (Boys)","Uniform Group"
7001,"National Police Cadet Corps (NPCC) (Boys)","Uniform Group"
7001,"St John Brigade (Boys)","Uniform Group"
7001,"National Cadet Corps (NCC) (Air) (Boys)","Uniform Group"
7001,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
7001,"National Cadet Corps (NCC) (Sea) (Boys)","Uniform Group"
7001,"National Civil Defence Cadet Corps (NCDCC) (Boys)","Uniform Group"
7001,"Guitar Ensemble (Boys)",Arts
7001,"String Ensemble (Boys)",Arts
7001,"Modern Dance (Boys)",Arts
7001,"English Drama (Boys)",Arts
7001,"Concert Band (Boys)",Arts
7001,"Modular CCA (Vpa) (Boys)","Clubs and Societies"
7001,"Space Science (Boys)","Clubs and Societies"
7001,"Audio Visual Aid (Boys)",Arts
7001,"International Chess (Boys)","Clubs and Societies"
7001,"Debating and Public Speaking (Boys)","Clubs and Societies"
7001,"Mathematics (Boys)","Clubs and Societies"
7001,"Photography (Boys)","Clubs and Societies"
7001,"Publication (Boys)","Clubs and Societies"
7001,"Robotics (Boys)","Clubs and Societies"
7001,"Design and Innovation (Boys)","Clubs and Societies"
7001,"Chinese Chess (Boys)","Clubs and Societies"
7001,"Media Resource Library (Boys)","Clubs and Societies"
7001,"Environmental Science (Boys)","Clubs and Societies"
7001,"Infocomm Technology (Media Production) (Boys)","Clubs and Societies"
7001,"Physical Science (Boys)","Clubs and Societies"
7002,"Basketball (Girls and Boys)",Sports
7002,"Judo (Girls and Boys)",Sports
7002,"Football (Boys)",Sports
7002,"Softball (Girls)",Sports
7002,"Floorball (Boys)",Sports
7002,"Girl Guides (Girls)","Uniform Group"
7002,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
7002,"Red Cross Youth (Girls and Boys)","Uniform Group"
7002,"National Cadet Corps (NCC) (Sea) (Boys)","Uniform Group"
7002,"Choir (Girls and Boys)",Arts
7002,"Modern Dance (Girls and Boys)",Arts
7002,"Concert Band (Girls and Boys)",Arts
7002,"English Language, Drama and Debating (Girls and Boys)",Arts
7804,Basketball,Sports
7804,"Sepaktakraw (Boys)",Sports
7804,"Football (Boys)",Sports
7804,Floorball,Sports
7804,Tchoukball,Sports
7804,"Scouts (Girls and Boys)","Uniform Group"
7804,"Percussion Ensemble (Girls and Boys)",Arts
7804,"Modern Dance (Girls and Boys)",Arts
7804,"Art and Crafts (Girls and Boys)",Arts
7804,"Audio Visual Aid (Girls and Boys)",Arts
7804,"Robotics (Girls and Boys)","Clubs and Societies"
7804,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3002,"Basketball (Boys)",Sports
3002,"Netball (Girls)",Sports
3002,"Sepaktakraw (Boys)",Sports
3002,"Football (Boys)",Sports
3002,"Volleyball (Girls)",Sports
3002,"National Police Cadet Corps (NPCC) (Boys)","Uniform Group"
3002,"Red Cross Youth (Girls and Boys)","Uniform Group"
3002,"National Cadet Corps (NCC) (Air) (Girls and Boys)","Uniform Group"
3002,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3002,"Choir (Girls and Boys)",Arts
3002,"Guzheng Ensemble (Girls and Boys)",Arts
3002,"Modern Dance (Girls and Boys)",Arts
3002,"Concert Band (Girls and Boys)",Arts
3002,"Design and Innovation (Girls and Boys)","Clubs and Societies"
3002,"Entrepreneurship (Girls and Boys)","Clubs and Societies"
3002,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3002,"Community Service (Girls and Boys)","Clubs and Societies"
3002,"Student Leadership (Council) (Girls and Boys)","Clubs and Societies"
3003,"Badminton (Girls and Boys)",Sports
3003,"Canoeing (Girls and Boys)",Sports
3003,"Football (Boys)",Sports
3003,"Wushu (Girls and Boys)",Sports
3003,"Volleyball (Girls)",Sports
3003,"Boys' Brigade (Boys)","Uniform Group"
3003,"Girl Guides (Girls)","Uniform Group"
3003,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3003,"Scouts (Boys)","Uniform Group"
3003,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3003,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3003,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3003,"Choir (Girls and Boys)",Arts
3003,"Modern Dance (Girls and Boys)",Arts
3003,"Malay Dance (Girls and Boys)",Arts
3003,"English Drama (Boys)",Arts
3003,"Concert Band (Girls and Boys)",Arts
3003,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3069,"Badminton (Girls and Boys)",Sports
3069,"Basketball (Girls and Boys)",Sports
3069,"Football (Boys)",Sports
3069,"Softball (Girls and Boys)",Sports
3069,"Wushu (Girls and Boys)",Sports
3069,"Tchoukball (Girls and Boys)",Sports
3069,"Outdoor Adventure (Girls and Boys)",Sports
3069,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3069,"St John Brigade (Girls and Boys)","Uniform Group"
3069,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3069,"Choir (Girls and Boys)",Arts
3069,"Modern Dance (Girls and Boys)",Arts
3069,"English Drama (Girls and Boys)",Arts
3069,"Concert Band (Girls and Boys)",Arts
3069,"Art and Crafts (Girls and Boys)",Arts
3069,"Audio Visual Aid (Girls and Boys)",Arts
3069,"Singapore Youth Flying Club (Girls and Boys)","Clubs and Societies"
3069,"Environmental Science (Girls and Boys)","Clubs and Societies"
3027,"Badminton (Girls and Boys)",Sports
3027,"Basketball (Boys)",Sports
3027,"Netball (Girls)",Sports
3027,"Football (Boys)",Sports
3027,"Swimming (Girls and Boys)",Sports
3027,"Floorball (Girls and Boys)",Sports
3027,"Girl Guides (Girls)","Uniform Group"
3027,"National Police Cadet Corps (NPCC) (Girls and Boys)","Uniform Group"
3027,"Scouts (Boys)","Uniform Group"
3027,"National Cadet Corps (NCC) (Land) (Boys)","Uniform Group"
3027,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3027,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3027,"Choir (Girls and Boys)",Arts
3027,"Chinese Dance (Girls and Boys)","Clubs and Societies"
3027,"Malay Dance (Girls and Boys)",Arts
3027,"Concert Band (Girls and Boys)",Arts
3027,"Audio Visual Aid (Girls and Boys)",Arts
3027,"Environmental Science (Girls and Boys)","Clubs and Societies"
3027,"Infocomm Technology (Media Production) (Girls and Boys)","Clubs and Societies"
3225,"Badminton (Boys)",Sports
3225,"Basketball (Girls and Boys)",Sports
3225,"Netball (Girls)",Sports
3225,"Football (Boys)",Sports
