school_code,dsa_cca,dsa_category
3072,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3072,"National Civil Defence Cadet Corps (NCDCC) (Girls and Boys)","Uniform Group"
3072,"Concert Band (Girls and Boys)",Arts
3072,"Guzheng Ensemble (Girls and Boys)",Arts
3072,"Robotics (Girls and Boys)","Clubs and Societies"
3072,"STEM (Girls and Boys)","Clubs and Societies"
3072,"Netball (Girls)",Sports
3072,"Rugby (Boys)",Sports
3072,"Wushu (Girls and Boys)",Sports
3201,"Critical Social Inquiry and Media Literacy (Girls and Boys)","Clubs and Societies"
3201,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3201,"Music (Girls and Boys)",Arts
3201,"Shooting (Girls and Boys)",Sports
3201,"Track and Field (Girls and Boys)",Sports
3001,"Malay Language (Girls and Boys)","Clubs and Societies"
3001,"Chinese Dance (Girls)","Clubs and Societies"
3001,"Concert Band (Girls and Boys)",Arts
3001,"Basketball (Girls and Boys)",Sports
3001,"Netball (Girls)",Sports
3001,"Table Tennis (Girls)",Sports
3001,"Volleyball (Girls)",Sports
3001,"Wushu (Girls and Boys)",Sports
3026,"Choir (Girls and Boys)",Arts
3026,"Concert Band (Girls and Boys)",Arts
3026,"English Drama (Girls and Boys)",Arts
3026,"Malay Dance (Girls and Boys)",Arts
3026,"Modern Dance (Girls and Boys)",Arts
3026,"Badminton (Girls and Boys)",Sports
3026,"Basketball (Boys)",Sports
3026,"Football (Boys)",Sports
3026,"Volleyball (Girls and Boys)",Sports
7101,"Chinese Language (Girls and Boys)","Clubs and Societies"
7101,"Boys' Brigade (Boys)","Uniform Group"
7101,"Girls' Brigade (Girls)","Uniform Group"
7101,"Chinese Drama (Girls and Boys)","Clubs and Societies"
7101,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
7101,"Choir (Girls and Boys)",Arts
7101,"Concert Band (Girls and Boys)",Arts
7101,"English Drama (Girls and Boys)",Arts
7101,"Modern Dance (Girls)",Arts
7101,"Robotics (Girls and Boys)","Clubs and Societies"
7101,"Badminton (Girls and Boys)",Sports
7101,"Basketball (Girls and Boys)",Sports
7101,"Table Tennis (Girls and Boys)",Sports
7101,"Wushu (Girls and Boys)",Sports
7032,"Debating (Boys)","Clubs and Societies"
7032,"Chinese Orchestra (Boys)","Clubs and Societies"
7032,"Choir (Boys)",Arts
7032,"Concert Band (Boys)",Arts
7032,"English Drama (Boys)",Arts
7032,"Modern Dance (Boys)",Arts
7032,"Digital Media (Boys)","Clubs and Societies"
7032,"Robotics (Boys)","Clubs and Societies"
7032,"Badminton (Boys)",Sports
7032,"Basketball (Boys)",Sports
7032,"Bowling (Boys)",Sports
7032,"Floorball (Boys)",Sports
7032,"Football (Boys)",Sports
7032,"Hockey (Boys)",Sports
7032,"Rugby (Boys)",Sports
7032,"Swimming (Boys)",Sports
7032,"Table Tennis (Boys)",Sports
7032,"Tennis (Boys)",Sports
7032,"Track (Boys)",Sports
7032,"Water Polo (Boys)",Sports
7001,"Humanities (Boys) - IP","Clubs and Societies"
7001,"Humanities (Boys)","Clubs and Societies"
7001,"Music Elective Programme (Boys) - IP","Clubs and Societies"
7001,"Music Elective Programme (Boys)","Clubs and Societies"
7001,"Mathematics (Boys) - IP","Clubs and Societies"
7001,"Mathematics (Boys)","Clubs and Societies"
7001,"Robotics (Boys) - IP","Clubs and Societies"
7001,"Robotics (Boys)","Clubs and Societies"
7001,"Science (Boys) - IP","Clubs and Societies"
7001,"Science (Boys)","Clubs and Societies"
7001,"Badminton (Boys) - IP",Sports
7001,"Badminton (Boys)",Sports
7001,"Basketball (Boys) - IP",Sports
7001,"Basketball (Boys)",Sports
7001,"Bowling (Boys) - IP",Sports
7001,"Bowling (Boys)",Sports
7001,"Canoeing (Boys) - IP",Sports
7001,"Canoeing (Boys)",Sports
7001,"Cricket (Boys) - IP",Sports
7001,"Cricket (Boys)",Sports
7001,"Cross Country (Boys) - IP",Sports
7001,"Cross Country (Boys)",Sports
7001,"Golf (Boys) - IP",Sports
7001,"Golf (Boys)",Sports
7001,"International Chess (Boys) - IP","Clubs and Societies"
7001,"International Chess (Boys)","Clubs and Societies"
7001,"Rugby (Boys) - IP",Sports
7001,"Rugby (Boys)",Sports
7001,"Sailing (Boys) - IP",Sports
7001,"Sailing (Boys)",Sports
7001,"Shooting (Boys) - IP",Sports
7001,"Shooting (Boys)",Sports
7001,"Softball (Boys) - IP",Sports
7001,"Softball (Boys)",Sports
7001,"Squash (Boys) - IP",Sports
7001,"Squash (Boys)",Sports
7001,"Swimming (Boys) - IP",Sports
7001,"Swimming (Boys)",Sports
7001,"Tennis (Boys) - IP",Sports
7001,"Tennis (Boys)",Sports
7001,"Track and Field (Boys) - IP",Sports
7001,"Track and Field (Boys)",Sports
7001,"Water Polo (Boys) - IP",Sports
7001,"Water Polo (Boys)",Sports
7002,"Basketball (Girls and Boys)",Sports
7002,"Football (Boys)",Sports
7002,"Judo (Girls and Boys)",Sports
3002,"Community Youth Leadership (Girls and Boys)","Clubs and Societies"
3002,"Chemical and Applied Sciences (Fragrance) (Girls and Boys)","Clubs and Societies"
3002,"Football (Boys)",Sports
3003,"Leadership (Girls and Boys)","Clubs and Societies"
3003,"Chinese Orchestra (Girls and Boys)","Clubs and Societies"
3003,"Choir (Girls and Boys)",Arts
3003,"Concert Band (Girls and Boys)",Arts
3003,"English Drama (Girls and Boys)",Arts
3003,"Malay Dance (Girls and Boys)",Arts
3003,"Modern Dance (Girls and Boys)",Arts
3003,"STEM (Girls and Boys)","Clubs and Societies"
3003,"Badminton (Girls and Boys)",Sports
3003,"Canoeing (Girls and Boys)",Sports
3003,"Football (Boys)",Sports
3003,"Volleyball (Girls)",Sports
