School_Code,Subject_Offered,subject_category
3072,"Basic Chinese Language",Language
3072,"Computer Applications",Science
3072,"Design & Technology",Science
3072,"Elements of Business Skills",Others
3072,"English Language",Language
3072,Mathematics,Math
3072,"Basic Malay Language",Language
3072,Science,Science
3072,"Social Studies",Humanities
3072,"Additional Mathematics",Math
3072,Art,Art
3072,"Chinese Language",Language
3072,"Food & Consumer Education",Others
3072,Geography,Humanities
3072,History,Humanities
3072,"Literature in English",Humanities
3072,"Malay Language",Language
3072,"Nutrition and Food Science",Science
3072,"Principles of Accounts",Math
3072,"Science (Chem, Bio)",Science
3072,"Science (Phy, Chem)",Science
3072,"Humanities (Ss, Geography)",Humanities
3072,"Humanities (Ss, History)",Humanities
3072,Chemistry,Science
3072,Computing,Science
3072,"Higher Chinese Language",Language
3072,"Higher Malay Language",Language
3072,Physics,Science
3072,"Humanities (Ss, Literature in Malay)",Humanities
3072,Music,Art
3072,"Physical Education",Others
3201,"Music Preparatory Course",Art
3201,"Computer Applications",Science
3201,"Design & Technology",Science
3201,"Social Studies",Humanities
3201,Art,Art
3201,History,Humanities
3201,"Literature in English",Humanities
3201,"Principles of Accounts",Math
3201,"Science (Chem, Bio)",Science
3201,"Science (Phy, Chem)",Science
3201,"Humanities (Ss, Geography)",Humanities
3201,"Humanities (Ss, History)",Humanities
3201,"Additional Mathematics",Math
3201,Biology,Science
3201,Chemistry,Science
3201,"Chinese Language",Language
3201,"English Language",Language
3201,"Higher Chinese Language",Language
3201,"Higher Malay Language",Language
3201,Mathematics,Math
3201,"Malay Language",Language
3201,Music,Art
3201,Physics,Science
3201,"Tamil Language",Language
3201,"Physical Education",Others
3001,"Food & Consumer Education",Others
3001,"Basic Chinese Language",Language
3001,"Computer Applications",Science
3001,"English Language",Language
3001,Mathematics,Math
3001,"Basic Malay Language",Language
3001,"Mobile Robotics",Science
3001,Science,Science
3001,"Social Studies",Humanities
3001,"Basic Tamil Language",Language
3001,"Additional Mathematics",Math
3001,Art,Art
3001,"Chinese Language",Language
3001,"Design & Technology",Science
3001,"Malay Language",Language
3001,"Principles of Accounts",Math
3001,"Science (Phy, Chem)",Science
3001,"Humanities (Ss, Geography)",Humanities
3001,"Humanities (Ss, History)",Humanities
3001,"Tamil Language",Language
3001,Biology,Science
3001,Chemistry,Science
3001,Geography,Humanities
3001,"Higher Chinese Language",Language
3001,"Higher Malay Language",Language
3001,"Higher Tamil Language",Language
3001,"Literature in English",Humanities
3001,Physics,Science
3001,"Humanities (Ss, Literature in English)",Humanities
3001,"Humanities (Ss, Literature in Malay)",Humanities
3001,Music,Art
3001,"Physical Education",Others
3026,Art,Art
3026,"Design & Technology",Science
3026,"Food & Consumer Education",Others
3026,"Computer Applications",Science
3026,"Elements of Business Skills",Others
3026,"Smart Electrical Technology",Science
3026,"Additional Mathematics",Math
3026,"Science (Phy, Chem)",Science
3026,Biology,Science
3026,Chemistry,Science
3026,"Chinese Language",Language
3026,"English Language",Language
3026,Geography,Humanities
3026,"Higher Chinese Language",Language
3026,History,Humanities
3026,"Literature in English",Humanities
3026,Mathematics,Math
3026,"Malay Language",Language
3026,Music,Art
3026,Physics,Science
3026,"Science (Chem, Bio)",Science
3026,"Humanities (Ss, Geography)",Humanities
3026,"Humanities (Ss, History)",Humanities
3026,"Humanities (Ss, Literature in English)",Humanities
7101,"Appreciation of Chinese Culture",Humanities
7101,"Additional Mathematics",Math
7101,Art,Art
7101,Biology,Science
7101,Chemistry,Science
